PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
AL000203	F V CARPENTER	1/10/1946	92	Not Available	Not Available	Not Available	10	72	Not Available	Not Available
AL000213	HENRY W FORD	2/1/1946	56	Not Available	6	25	5	15	22	Not Available
AL000246	HENRY FORD	2/28/1946	48	Not Available	6	27	8	9	Not Available	Not Available
AL000254	E K IRWIN	3/15/1946	80	Not Available	6	26	6	30	45	Not Available
AL000273	F V CAPRENTER	5/3/1946	75	Not Available	6	13	Not Available	Not Available	Not Available	Not Available
AL000309	E H IRWIN	4/30/1946	50	Not Available	6	22	3	19	25	Not Available
AL000310	E R IRWIN	4/19/1946	55	Not Available	6	26	5	20	26	Not Available
AL000369	JOHN H JOHNSON	5/7/1946	75	Not Available	6	75	6	52	60	Not Available
AL000510	JOHN H JOHNSON	6/14/1946	39	Not Available	6	39	2	8	Not Available	Not Available
AL000511	JOHN H JOHNSON	6/20/1946	58	Not Available	6	Not Available	3	35	Not Available	Not Available
AL000527	E R IRVIN	6/20/1946	32	Not Available	6	32	2	16	23	Not Available
AL000528	E R IRWIN	7/2/1946	90	Not Available	6	40	4	35	47	Not Available
AL000604	JOHN H JOHNSON	7/15/1946	92	Not Available	6	Not Available	1	60	60	Not Available
AL000647	F V CARPENTER	7/20/1946	184	Not Available	6	46	15	152	Not Available	Not Available
AL000656	JOHN H JOHNSON	7/19/1946	74	Not Available	6	72	2	60	Not Available	Not Available
AL000721	F V CARPENTER	8/15/1946	247	Not Available	Not Available	Not Available	20	80	100	Not Available
AL000801	F V CARPENTER	9/22/1946	121	Not Available	6	20	4	30	40	Not Available
AL000853	JOHN H JOHNSON	9/28/1946	52	Not Available	6	57	3	20	55	Not Available
AL000872	JOHN H JOHNSON	10/15/1966	118	Not Available	6	Not Available	1	24	Not Available	Not Available
AL000874	JOHN H JOHNSON	10/8/1946	79	Not Available	6	75	3	25	3	Not Available
AL000908	JOHN H JOHNSON	11/15/1966	45	Not Available	6	Not Available	5	24	24	Not Available
AL000990	F V CARPENTER	11/11/1946	95	Not Available	6	30	Not Available	10	20	Not Available
AL000991	F V CARPENTER	11/12/1946	95	Not Available	6	32	Not Available	8	30	Not Available
AL000992	F V CARPENTER	11/12/1946	105	Not Available	6	88	4	20	40	Not Available
AL000995	F V CARPENTER	11/5/1946	96	Not Available	6	32	Not Available	Not Available	Not Available	Not Available
AL000996	F V CARPENTER	11/5/1946	94	Not Available	6	94	Not Available	40	50	Not Available
AL001036	HENRY FORD	12/28/1946	54	Not Available	6	24	650	20	22	Not Available
AL001073	HENRY FORD	5/24/1947	85	Not Available	6	37	600	27	27	Not Available
AL001084	JACOB MILLER	1/23/1947	85	Not Available	6	Not Available	8	15	Not Available	Not Available
AL001219	J B MARTIN	3/28/1947	55	Not Available	6	26	5	32	Not Available	Not Available
AL001330	J B MARTIN	4/15/1947	40	Not Available	6	10	Not Available	Not Available	Not Available	Not Available
AL001345	J B MARTIN	4/14/1947	50	Not Available	6	Not Available	2	25	Not Available	Not Available
AL001346	J B MARTIN	4/21/1947	60	Not Available	6	Not Available	8	8	Not Available	Not Available
AL001379	JOHN H JOHNSON	4/28/1947	107	Not Available	6	Not Available	2	35	Not Available	Not Available
AL001515	J B MARTIN	6/14/1947	40	Not Available	6	Not Available	2	25	Not Available	Not Available
AL001598	JOHN H JOHNSON	7/9/1947	56	Not Available	6	Not Available	2	20	1	Not Available
AL001654	JACOB MILLER	7/30/1947	75	Not Available	6	Not Available	12	14	30	Not Available
AL001660	F V CARPENTER	11/1/1947	93	Not Available	8	38	Not Available	Not Available	Not Available	Not Available
AL001661	F V CARPENTER	11/1/1947	64	Not Available	6	36	Not Available	20	30	Not Available
AL001701	JACOB MILLER	7/14/1947	110	Not Available	6	Not Available	20	50	40	Not Available
AL001741	JACOB MILLER	8/25/1947	110	Not Available	6	Not Available	40	60	50	Not Available
AL001761	FRED KREIG	9/2/1947	82	Not Available	5	26	1	25	57	Not Available
AL001826	FRED KREIJ	9/2/1947	87	Not Available	4	43	1	20	67	Not Available
AL001841	JACOB MILLER	9/16/1947	90	Not Available	6	Not Available	10	30	35	Not Available
AL001864	FRED KREIJ	9/23/1947	55	Not Available	5	12	1	10	45	Not Available
