PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
CL000001	HOWELL R LEPPO	7/28/1945	200	Not Available	6	12	100	0	9	Not Available
CL000004	THEODORE W OWINGS	7/26/1945	185	Not Available	6	45	15	40	Not Available	Not Available
CL000013	THEODORE W OWINGS	7/30/1945	67	Not Available	6	60	15	20	Not Available	Not Available
CL000026	THEODORE W OWINGS	8/6/1945	100	Not Available	6	30	18	45	45	Not Available
CL000027	THEODORE W OWINGS	8/16/1945	83	Not Available	6	70	20	50	62	Not Available
CL000038	THEODORE W OWINGS	8/21/1945	58	Not Available	6	49	20	4	15	Not Available
CL000173	H E & C L WANTZ	2/8/1946	104	Not Available	6	8	Not Available	53	Not Available	Not Available
CL000190	THEODORE W OWINGS	6/21/1946	200	Not Available	8	92	150	55	100	Not Available
CL000191	THEODORE W OWINGS	5/6/1946	400	Not Available	10	57	40	56	150	Not Available
CL000198	THEODORE W OWINGS	1/1/1946	68	Not Available	6	43	20	35	54	Not Available
CL000199	THEODORE W OWINGS	1/7/1946	125	Not Available	6	25	15	45	100	Not Available
CL000247	H E & C L WANTZ	3/1/1946	84	Not Available	6	10	Not Available	25	Not Available	Not Available
CL000255	THEODORE W OWINGS	3/7/1946	133	Not Available	6	78	20	60	80	Not Available
CL000263	H E & C L WANTZ	3/20/1946	95	Not Available	6	91	Not Available	42	Not Available	Not Available
CL000317	H E & C L WANTZ	11/21/1947	244	Not Available	8	5	50	40	Not Available	Not Available
CL000410	MAURICE UTEMAHLER	5/25/1946	47	Not Available	6	47	25	20	20	Not Available
CL000411	MAURICE UTERMAHLER	5/16/1946	37	Not Available	6	37	20	10	20	Not Available
CL000447	THEODORE W OWINGS	5/15/1946	50	Not Available	6	20	20	18	18	Not Available
CL000460	THEODORE W OWINGS	5/18/1946	61	Not Available	6	21	200	26	46	Not Available
CL000461	H E & C L WANTZ	6/11/1946	79	Not Available	6	24	6	6	Not Available	Not Available
CL000469	THEODORE W OWINGS	5/31/1946	87	Not Available	6	20	20	20	40	Not Available
CL000503	THEODORE W OWINGS	6/5/1946	65	Not Available	6	35	14	12	20	Not Available
CL000513	MAURICE E UTERMAHLEN	7/10/1946	28	Not Available	6	28	24	6	8	Not Available
CL000514	MAURICE E UTERMAHLEN	7/18/1946	78	Not Available	6	78	8	50	50	Not Available
CL000515	MAURICE E UTERMAHLEN	6/25/1946	85	Not Available	6	85	8	50	20	Not Available
CL000575	MAURICE E UTERMAHLEN	7/5/1946	90	Not Available	6	90	12	60	60	Not Available
CL000630	THEODORE W OWINGS	7/12/1946	90	Not Available	6	30	20	40	70	Not Available
CL000659	MAURICE E UTERMAHLEN	7/27/1946	40	Not Available	6	40	24	6	6	Not Available
CL000661	MAURICE E UTERMAHLEN	8/17/1946	95	Not Available	6	95	6	70	70	Not Available
CL000679	H E & C L WANTZ	9/17/1946	260	Not Available	6	18	Not Available	25	Not Available	Not Available
CL000692	MAURICE UTERMAHLEN	8/26/1946	46	Not Available	6	46	8	9	20	Not Available
CL000693	MAURICE UTERMAHLEN	7/25/1946	40	Not Available	6	40	24	6	6	Not Available
CL000706	THEODORE W OWINGS	8/10/1946	118	Not Available	6	4	20	20	20	Not Available
CL000707	THEODORE W OWINGS	8/21/1946	125	Not Available	6	115	5	20	120	Not Available
CL000767	THEODORE W OWINGS	8/26/1946	70	Not Available	6	31	20	25	30	Not Available
CL000780	THEODORE W OWINGS	8/30/1946	75	Not Available	6	24	20	30	35	Not Available
CL000796	THEODORE W OWINGS	9/5/1946	90	Not Available	6	20	20	45	65	Not Available
CL000823	MAURICE E UTERMAHLEN	10/12/1946	75	Not Available	6	75	27	15	15	Not Available
CL000824	MAURICE E UTERMAHLEN	9/28/1946	95	Not Available	6	95	8	40	50	Not Available
CL000863	THEODORE W OWINGS	9/26/1946	78	Not Available	6	28	20	20	60	Not Available
CL000877	THEODORE W OWINGS	10/10/1946	100	Not Available	6	70	5	35	90	Not Available
CL000887	PAUL A LEGORE	11/14/1946	95	Not Available	6	15	3	22	80	Not Available
CL000888	PAUL A LEGORE	10/23/1946	117	Not Available	6	85	1	22	80	Not Available
CL000889	MAURICE UTERMAHLEN	10/28/1946	54	Not Available	6	54	4	0	6	Not Available
CL000890	MAURICE UTERMAHLEN	10/31/1946	60	Not Available	6	60	16	30	30	Not Available
CL000949	MAURICE UTERMAHLEN	1/18/1947	60	Not Available	Not Available	Not Available	6	20	15	Not Available
CL000950	MAURICE UTERMAHLEN	11/22/1946	60	Not Available	6	60	6	30	50	Not Available
CL000951	MAURICE UTERMAHLEN	11/13/1946	47	Not Available	6	45	16	20	20	Not Available
CL000969	THEODORE W OWINGS	11/14/1946	92	Not Available	6	24	20	60	70	Not Available
CL000994	THEODORE W OWINGS	11/19/1946	42	Not Available	6	36	20	12	15	Not Available
CL001011	MAURICE UTERMAHLEN	1/25/1947	60	Not Available	Not Available	Not Available	8	50	30	Not Available
CL001047	H E & C L WANTZ	1/4/1947	170	Not Available	6	22	Not Available	52	Not Available	Not Available
CL001056	THEODORE W OWINGS	6/21/1947	53	Not Available	6	40	20	20	20	Not Available
CL001057	THEODORE W OWINGS	12/24/1946	75	Not Available	6	36	20	35	35	Not Available
CL001058	THEODORE W OWINGS	12/17/1946	70	Not Available	6	24	20	0	30	Not Available
CL001079	THEODORE W OWINGS	1/11/1947	90	Not Available	6	22	20	20	75	Not Available
CL001088	THEODORE W OWINGS	4/12/1947	200	Not Available	8	45	75	65	100	Not Available
CL001100	THEODORE W OWINGS	3/13/1947	230	Not Available	6	53	15	0	225	Not Available
CL001108	EDWARD BROWN	3/14/1947	90	Not Available	6	38	25	10	32	Not Available
CL001128	HOWELL R LEPPO	3/15/1947	50	Not Available	6	11	10	5	Not Available	Not Available
CL001129	HOWELL R LEPPO	2/14/1947	55	Not Available	6	23	6	32	Not Available	Not Available
CL001130	HOWELL R LEPPO	2/28/1947	80	Not Available	6	10	8	40	Not Available	Not Available
CL001132	HOWELL R LEPPO	11/15/1945	244	Not Available	6	77	12	0	244	Not Available
CL001134	HOWELL LEPPO	2/5/1946	70	Not Available	6	70	3	Not Available	Not Available	Not Available
CL001135	HOWELL LEPPO	3/15/1946	145	Not Available	6	20	Not Available	0	12	Not Available
CL001136	HOWELL LEPPO	3/12/1946	59	Not Available	6	23	3	Not Available	Not Available	Not Available
CL001137	HOWELL LEPPO	3/18/1946	80	Not Available	6	10	10	40	Not Available	Not Available
CL001138	HOWELL LEPPO	3/5/1946	110	Not Available	6	60	9	0	110	Not Available
CL001141	HOWELL LEPPO	4/1/1946	44	Not Available	6	40	8	0	5	Not Available
CL001142	HOWELL LEPPO	5/15/1946	300	Not Available	6	20	15	0	6	Not Available
CL001143	HOWELL LEPPO	5/15/1946	70	Not Available	6	64	5	0	50	Not Available
CL001144	HOWELL LEPPO	5/15/1946	56	Not Available	6	56	4	0	26	Not Available
CL001148	HOWELL LEPPO	6/15/1946	75	Not Available	6	10	10	0	55	Not Available
CL001156	HOWELL LEPPO	7/15/1946	56	Not Available	6	43	12	0	55	Not Available
CL001157	HOWELL LEPPO	7/15/1946	55	Not Available	6	50	12	0	55	Not Available
CL001158	HOWELL LEPPO	7/15/1946	60	Not Available	6	16	10	0	60	Not Available
CL001159	HOWELL LEPPO	7/15/1946	65	Not Available	6	16	5	0	65	Not Available
CL001160	HOWELL LEPPO	7/15/1946	60	Not Available	6	22	8	0	60	Not Available
CL001161	HOWELL LEPPO	7/15/1946	80	Not Available	6	70	7	0	80	Not Available
CL001164	HOWELL LEPPO	7/1/1946	50	Not Available	6	21	6	Not Available	Not Available	Not Available
CL001165	HOWELL LEPPO	8/15/1946	325	Not Available	6	17	15	0	325	Not Available
CL001166	HOWELL LEPPO	8/15/1946	75	Not Available	6	24	5	0	75	Not Available
CL001167	HOWELL LEPPO	8/15/1946	70	Not Available	6	22	8	0	70	Not Available
CL001168	HOWELL LEPPO	8/1/1946	30	Not Available	6	23	10	0	30	Not Available
CL001169	HOWELL LEPPO	8/15/1946	70	Not Available	6	10	5	0	70	Not Available
CL001170	HOWELL LEPPO	9/15/1946	60	Not Available	6	28	6	0	60	Not Available
CL001171	HOWELL LEPPO	9/15/1946	65	Not Available	6	22	6	0	65	Not Available
CL001172	HOWELL LEPPO	9/15/1946	107	Not Available	6	90	9	0	107	Not Available
CL001173	HOWELL LEPPO	9/15/1946	100	Not Available	6	61	10	0	100	Not Available
CL001190	H E & C L WANTZ	3/12/1947	125	Not Available	6	10	Not Available	10	Not Available	Not Available
CL001205	HOWELL R LEPPO	3/10/1947	100	Not Available	6	66	3	60	Not Available	Not Available
CL001206	HOWELL R LEPPO	4/15/1947	45	Not Available	6	45	8	7	Not Available	Not Available
CL001246	H E & C L WANTZ	4/19/1947	93	Not Available	6	9	Not Available	40	Not Available	Not Available
CL001249	THEODORE W OWINGS	3/19/1947	60	Not Available	6	23	20	20	50	Not Available
CL001339	HOWELL R LEPPO	4/12/1947	132	Not Available	6	107	15	25	Not Available	Not Available
CL001340	HOWELL R LEPPO	4/12/1947	96	Not Available	6	46	18	50	Not Available	Not Available
CL001341	HOWELL R LEPPO	11/1/1950	100	Not Available	6	20	2	100	Not Available	Not Available
CL001363	THEODORE W OWINGS	4/24/1947	110	Not Available	6	100	22	65	85	Not Available
CL001381	H E & C L WANTZ	5/7/1947	110	Not Available	6	10	Not Available	23	Not Available	Not Available
CL001392	THEODORE W OWINGS	4/9/1947	75	Not Available	6	30	20	35	45	Not Available
CL001442	THEODORE W OWINGS	5/12/1947	57	Not Available	6	23	30	30	35	Not Available
CL001479	HOWELL R LEPPO	11/10/1950	90	Not Available	6	10	8	60	Not Available	Not Available
CL001480	HOWELL R LEPPO	11/10/1947	80	Not Available	6	11	4	40	Not Available	Not Available
CL001568	H E & C L WANTZ	7/9/1947	157	Not Available	6	6	Not Available	37	Not Available	Not Available
CL001569	THEODORE W OWINGS	6/16/1947	112	Not Available	6	40	18	70	65	Not Available
CL001599	H E & C L WANTZ	7/22/1947	105	Not Available	6	11	Not Available	45	Not Available	Not Available
CL001626	THEODORE W OWINGS	7/9/1947	65	Not Available	6	30	20	11	15	Not Available
CL001637	THEODORE W OWINGS	7/22/1947	163	Not Available	6	20	6	70	15	Not Available
CL001638	THEODORE W OWINGS	7/10/1947	48	Not Available	6	12	20	15	15	Not Available
CL001655	H E & C L WANTZ	8/20/1947	142	Not Available	6	12	Not Available	16	Not Available	Not Available
CL001682	THEODORE W OWINGS	7/30/1947	100	Not Available	6	61	20	60	70	Not Available
CL001693	THEODORE W OWINGS	8/7/1947	65	Not Available	6	31	22	30	35	Not Available
CL001729	WM W REICHART	9/11/1947	102	Not Available	6	Not Available	35	50	Not Available	Not Available
CL001769	THEODORE W OWINGS	8/25/1947	130	Not Available	6	30	2	70	115	Not Available
CL001794	THEODORE W OWINGS	9/6/1947	125	Not Available	6	102	25	30	40	Not Available
CL001843	PAUL A LEGORE	9/12/1947	62	Not Available	6	16	4	10	40	Not Available
CL001844	H E & C L WANTZ	9/10/1947	68	Not Available	6	16	Not Available	13	Not Available	Not Available
CL001859	H E & C L WANTZ	10/3/1947	190	Not Available	6	22	Not Available	80	Not Available	Not Available
CL001879	THEODORE W OWINGS	9/20/1947	130	Not Available	6	18	5	75	110	Not Available
CL001880	PAUL A LEGORE	9/22/1947	62	Not Available	6	7	4	15	55	Not Available
CL001947	PAUL A LEGORE	9/27/1947	65	Not Available	6	15	3	30	Not Available	Not Available
CL001948	PAUL A LEGORE	10/2/1947	61	Not Available	6	16	4	18	54	Not Available
