PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
CO000002	ENNIS BROS	7/15/1945	70	Not Available	8	Not Available	27	6	27	Not Available
CO000104	SHANNAHAN WELL CO	12/17/1945	275	Not Available	8	35	80	34	59	Not Available
CO000123	H E & C L WANTZ	10/29/1945	107	Not Available	5	Not Available	Not Available	26	Not Available	Not Available
CO000126	"OWINGS, THEODORE W"	12/15/1945	200	Not Available	6	40	8	40	Not Available	Not Available
CO000200	SHANNAHAN WELL CO	5/9/1946	312	Not Available	8	297	150	30	240	Not Available
CO000418	SHANNAHAN WELL CO	5/9/1946	190	Not Available	8	95	50	11	30	Not Available
CO000968	ENNIS BROTHERS	3/24/1947	78	Not Available	4	Not Available	100	0	60	Not Available
CO001297	ENNIS BROTHERS	10/28/1947	76	Not Available	10	Not Available	900	9	Not Available	Not Available
CO001672	L RUDE & SON	8/1/1947	303	Not Available	2	210	35	28	Not Available	Not Available
CO001676	ENNIS BROS	8/12/1947	70	Not Available	8	Not Available	150	8	30	Not Available
CO001787	M A PENTZ	12/21/1947	304	Not Available	6	253	200	18	68	Not Available
CO001936	SHANNAHAN WELL CO	9/16/1947	222	Not Available	3	84	20	27	43	Not Available
CO002071	M A PENTZ	12/15/1947	275	Not Available	4	65	Not Available	8	Not Available	Not Available
CO003981	M A PENTZ	5/14/1949	170	Not Available	3	133	30	31	51	Not Available
CO004053	M A PENTZ	6/3/1949	140	Not Available	3	90	40	7	21	Not Available
CO004054	"PENTZ, M A"	7/14/1949	50	Not Available	3	Not Available	40	4	16	Not Available
CO004730	SHANNAHAN WELL CO	10/26/1949	260	Not Available	8	203	200	35	120	Not Available
CO004921	ENNIS BROTHERS	11/23/1949	139	Not Available	4	110	13	31	Not Available	Not Available
CO004973	ENNIS BROTHERS	11/28/1949	84	Not Available	4	55	70	22	Not Available	Not Available
CO005007	M A PENTZ	1/15/1950	580	Not Available	8	162	Not Available	30	Not Available	Not Available
CO005036	PENTZ	12/15/1949	60	Not Available	4	Not Available	34	13	24	Not Available
CO005376	SHANNAHAN WELL CO	8/12/1950	308	Not Available	6	229	50	21	30	Not Available
CO005405	M A PENTZ	3/26/1950	205	Not Available	4	107	30	26	40	8
CO005468	ENNIS BROTHERS	8/15/1950	298	Not Available	8	246	136	40	Not Available	Not Available
CO005687	M A PENTZ	6/9/1950	140	Not Available	3	100	10	31	40	Not Available
CO006714	M A PENTZ	10/20/1950	170	Not Available	4	100	10	22	30	Not Available
CO007305	M A PENTZ	3/20/1951	78	Not Available	3	70	40	11	19	Not Available
CO007306	M A PENTZ	3/27/1951	368	Not Available	3	160	10	30	60	Not Available
CO007332	M A PENTZ	2/24/1951	170	Not Available	3	105	30	32	40	Not Available
CO007824	M A PENTZ	5/5/1951	170	Not Available	3	110	10	18	30	Not Available
CO007826	M A PENTZ	10/9/1951	518	Not Available	6	170	160	10	100	100
CO007926	"PENTZ, M A"	5/12/1951	40	Not Available	3	35	8	15	25	Not Available
CO007927	M A PENTZ	6/2/1951	110	Not Available	3	90	20	17	30	Not Available
CO008030	"PENTZ, M A"	6/9/1951	78	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
CO008211	M A PENTZ	9/22/1951	170	Not Available	3	105	50	11	20	60
CO009070	SHANNAHAN WELL CO	4/5/1952	230	Not Available	8	152	60	23	38	Not Available
CO009744	M A PENTZ	5/14/1952	150	Not Available	3	118	30	30	40	Not Available
CO009784	L RUDE & SON	8/15/1952	159	Not Available	3	105	40	35	Not Available	60
