PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
DO000174	SHANNAHAN ART WELL	4/5/1946	941	Not Available	14	22	436	0	108	Not Available
DO000206	SHANNAHAN ART WELL	8/30/1946	940	Not Available	5	200	30	6	50	Not Available
DO000216	G S JARRETT	2/26/1946	400	Not Available	4	100	Not Available	63	Not Available	Not Available
DO000261	G S JARRETT	4/1/1946	386	Not Available	2	105	Not Available	60	Not Available	Not Available
DO000320	WILLIE TODD	4/27/1946	512	Not Available	3	84	15	6	Not Available	Not Available
DO000321	WILLIE TODD	4/4/1946	212	Not Available	2	Not Available	12	Not Available	Not Available	Not Available
DO000322	WILLIE TODD	5/31/1946	426	Not Available	2	Not Available	Not Available	5	Not Available	Not Available
DO000323	WILLIE TODD	5/25/1946	420	Not Available	2	Not Available	Not Available	4	Not Available	Not Available
DO000324	WILLIE TODD	4/22/1946	420	Not Available	2	Not Available	20	12	Not Available	Not Available
DO000325	WILLIE TODD	4/15/1946	430	Not Available	2	Not Available	12	12	Not Available	Not Available
DO000326	WILLIE TODD	4/10/1946	415	Not Available	2	Not Available	15	12	Not Available	Not Available
DO000331	GUY R BRADSHAW	4/4/1946	478	Not Available	2	415	25	Not Available	Not Available	Not Available
DO000332	GUY R BRADSHAW	4/5/1946	400	Not Available	2	339	22	0	8	Not Available
DO000379	GUY R BRADSHAW	5/3/1946	390	Not Available	2	332	20	0	12	Not Available
DO000409	GUY R BRADSHAW	5/14/1946	390	Not Available	2	332	20	0	12	Not Available
DO000468	GUY R BRADSHAW	5/24/1946	400	Not Available	2	332	20	0	12	Not Available
DO000490	GUY R BRADSHAW	6/3/1946	400	Not Available	2	332	20	0	12	Not Available
DO000505	GUY R BRADSHAW	6/17/1946	400	Not Available	2	332	20	12	Not Available	Not Available
DO000519	WILLIE TODD	6/14/1946	472	Not Available	2	Not Available	Not Available	4	Not Available	Not Available
DO000520	WILLIE TODD	6/19/1946	472	Not Available	2	Not Available	Not Available	4	Not Available	Not Available
DO000521	WILLIE TODD	8/10/1946	552	Not Available	2	Not Available	Not Available	1	Not Available	Not Available
DO000522	WILLIE TODD	7/8/1946	330	Not Available	3	105	Not Available	43	Not Available	Not Available
DO000523	WILLIE TODD	6/13/1946	330	Not Available	3	105	Not Available	43	Not Available	Not Available
DO000524	WILLIE TODD	7/30/1946	552	Not Available	3	Not Available	Not Available	1	Not Available	Not Available
DO000558	WILLIE TODD	6/25/1946	472	Not Available	2	Not Available	Not Available	4	Not Available	Not Available
DO000559	WILLIE TODD	7/1/1946	472	Not Available	2	Not Available	Not Available	4	Not Available	Not Available
DO000584	GUY R BRADSHAW	6/27/1946	400	Not Available	2	345	18	Not Available	Not Available	Not Available
DO000611	EDGAR C CUSICK	1/10/1947	420	Not Available	2	373	28	20	24	Not Available
DO000612	EDGAR C CUSICK	1/27/1947	442	Not Available	2	400	28	19	22	Not Available
DO000614	EDGAR C CUSICK	8/8/1946	396	Not Available	2	Not Available	25	16	Not Available	Not Available
DO000629	GUY R BRADSHAW	7/11/1946	370	Not Available	2	310	20	Not Available	Not Available	Not Available
DO000645	GUY R BRADSHAW	7/19/1946	516	Not Available	2	515	15	Not Available	Not Available	Not Available
DO000670	GUY R BRADSHAW	7/31/1946	516	Not Available	2	515	15	Not Available	Not Available	Not Available
DO000711	GUY R BRADSHAW	8/16/1946	350	Not Available	2	290	12	Not Available	Not Available	Not Available
DO000768	WILLIE TODD	8/28/1946	520	Not Available	2	6	10	6	6	Not Available
DO000769	GUY R BRADSHAW	9/3/1946	400	Not Available	2	356	15	Not Available	Not Available	Not Available
DO000802	GUY R BRADSHAW	9/12/1946	515	Not Available	2	493	15	Not Available	Not Available	Not Available
DO000832	GUY R BRADSHAW	9/24/1946	500	Not Available	2	496	15	Not Available	Not Available	Not Available
DO000871	GUY R BRADSHAW	10/2/1946	514	Not Available	2	420	20	Not Available	Not Available	Not Available
DO000885	GUY R BRADSHAW	10/23/1946	406	Not Available	2	343	20	Not Available	Not Available	Not Available
DO001072	WILLIE TODD	1/10/1947	559	Not Available	2	Not Available	Not Available	1	Not Available	Not Available
DO001099	WILLIE TODD	1/29/1947	490	Not Available	2	Not Available	25	Not Available	Not Available	Not Available
DO001103	EDGAR C CUSICK	2/1/1947	480	Not Available	Not Available	426	28	9	10	Not Available
DO001104	EDGAR C CUSICK	5/1/1947	445	Not Available	2	390	30	16	17	Not Available
DO001114	EDGAR C CUSICK	5/16/1947	520	Not Available	2	480	30	2	3	Not Available
DO001119	WILLIE TODD	2/14/1947	420	Not Available	3	105	15	63	63	Not Available
DO001199	EDGAR C CUSICK	4/14/1947	443	Not Available	2	409	25	6	7	Not Available
DO001220	SHANNAHAN ARTESIAN	8/30/1947	971	Not Available	10	25	200	80	128	Not Available
DO001234	WILLIE TODD	3/18/1947	397	Not Available	3	105	5	63	63	Not Available
DO001267	WILLIE TODD	3/27/1947	490	Not Available	2	483	Not Available	2	Not Available	Not Available
DO001273	EDGAR C CUSICK	4/7/1947	160	Not Available	2	90	5	8	10	Not Available
DO001274	EDGAR C CUSICK	3/25/1947	180	Not Available	2	147	4	3	5	Not Available
DO001296	WILLIE TODD	4/7/1947	330	Not Available	3	105	3	35	30	Not Available
DO001300	EDGAR C CUSICK	4/23/1947	185	Not Available	2	120	15	6	8	Not Available
DO001338	WILLIE TODD	4/14/1947	415	Not Available	3	105	5	64	64	Not Available
DO001360	GUY R BRADSHAW	5/1/1947	370	Not Available	2	310	15	Not Available	Not Available	Not Available
DO001361	WILLIE TODD	4/23/1947	504	Not Available	3	480	3	6	6	Not Available
DO001364	EDGAR C CUSICK	5/9/1947	504	Not Available	Not Available	468	30	3	6	Not Available
DO001365	EDGAR C CUSICK	4/25/1947	150	Not Available	2	90	7	6	9	Not Available
DO001366	EDGAR C CUSICK	5/28/1947	515	Not Available	2	473	30	3	4	Not Available
DO001367	EDGAR C CUSICK	5/22/1947	510	Not Available	2	470	25	3	5	Not Available
DO001368	EDGAR C CUSICK	5/3/1947	442	Not Available	2	380	30	16	17	Not Available
DO001385	WILLIE TODD	5/1/1947	525	Not Available	2	504	2	2	2	Not Available
DO001394	WILLIE TODD	5/9/1947	544	Not Available	3	Not Available	5	2	2	Not Available
DO001427	SHANNAHAN ARTESIAN	7/3/1947	432	Not Available	14	92	350	84	112	Not Available
DO001437	GUY R BRADSHAW	5/26/1947	515	Not Available	2	495	Not Available	Not Available	Not Available	Not Available
DO001443	WILLIE TODD	5/19/1947	567	Not Available	2	Not Available	25	Not Available	Not Available	Not Available
DO001490	EDGAR C CUSICK	6/3/1947	510	Not Available	2	441	25	3	3	Not Available
DO001491	EDGAR C CUSICK	6/9/1947	487	Not Available	2	425	20	3	3	Not Available
DO001504	WILLIE TODD	6/7/1947	522	Not Available	2	Not Available	2	2	Not Available	Not Available
DO001505	GUY R BRADSHAW	6/6/1947	527	Not Available	2	514	20	Not Available	Not Available	Not Available
DO001539	EDGAR C CUSICK	6/16/1947	550	Not Available	2	450	20	3	5	Not Available
DO001543	WILLIE TODD	6/18/1947	555	Not Available	2	Not Available	22	2	2	Not Available
DO001554	GUY R BRADSHAW	6/19/1947	629	Not Available	2	620	20	Not Available	Not Available	Not Available
DO001561	WILLIE TODD	6/19/1947	422	Not Available	3	404	Not Available	70	70	Not Available
DO001587	GUY R BRADSHAW	6/27/1947	388	Not Available	3	320	15	Not Available	Not Available	Not Available
DO001597	WILLIE TODD	7/4/1947	448	Not Available	3	105	Not Available	33	60	Not Available
DO001607	GUY R BRADSHAW	7/3/1947	370	Not Available	3	84	15	Not Available	Not Available	Not Available
DO001615	GUY R BRADSHAW	7/15/1947	370	Not Available	3	84	20	Not Available	Not Available	Not Available
DO001622	WILLIE TODD	7/10/1947	435	Not Available	3	105	20	69	89	Not Available
DO001640	WILLIE TODD	7/28/1947	350	Not Available	3	105	2	35	63	Not Available
DO001645	SHANNAHAN WELL CO	10/23/1947	430	Not Available	16	82	350	89	145	Not Available
DO001647	GUY R BRADSHAW	7/23/1947	525	Not Available	2	515	Not Available	Not Available	Not Available	Not Available
DO001680	WILLIE TODD	8/6/1947	504	Not Available	2	480	Not Available	3	3	Not Available
DO001686	GUY R BRADSHAW	8/8/1947	380	Not Available	2	320	15	Not Available	Not Available	Not Available
DO001724	WILLIE TODD	9/11/1947	558	Not Available	2	550	20	4	4	Not Available
DO001752	GUY R BRADSHAW	9/2/1947	385	Not Available	2	343	20	Not Available	Not Available	Not Available
DO001835	GUY R BRADSHAW	9/15/1947	380	Not Available	2	337	20	Not Available	Not Available	Not Available
DO001860	LEON JARRETT	9/18/1947	496	Not Available	3	490	25	2	2	Not Available
DO001861	WILLIE TODD	9/20/1947	560	Not Available	2	Not Available	15	2	2	Not Available
DO001890	LEON JARRETT	9/25/1947	460	Not Available	2	430	Not Available	75	75	Not Available
DO001891	LEON JARRETT	10/2/1947	450	Not Available	2	Not Available	Not Available	6	6	Not Available
DO001946	LEON JARRETT	10/11/1947	542	Not Available	2	Not Available	Not Available	Not Available	Not Available	Not Available
DO001956	GUY R BRADSHAW	10/13/1947	460	Not Available	2	336	22	Not Available	Not Available	Not Available
DO001962	L RUDE & SON	10/25/1947	150	Not Available	3	100	10	8	Not Available	Not Available
DO001971	LEON JARRETT	10/18/1947	602	Not Available	2	Not Available	600	2	2	Not Available
DO001995	GUY R BRADSHAW	10/22/1947	400	Not Available	3	84	16	Not Available	Not Available	Not Available
DO002001	LEON JARRETT	10/25/1947	536	Not Available	2	Not Available	15	2	2	Not Available
DO002004	EDGAR CLAUSICK	12/13/1947	150	Not Available	2	95	9	3	13	Not Available
DO002042	LEON JARRETT	11/13/1947	532	Not Available	2	Not Available	20	2	2	Not Available
DO002045	GUY R BRADSHAW	11/1/1947	360	Not Available	3	84	15	30	35	Not Available
DO002104	SHANNAHANN WELL CO	11/29/1947	151	Not Available	3	99	15	17	65	Not Available
DO002113	EDGAR C CUSICK	12/9/1947	470	Not Available	2	430	25	2	4	Not Available
DO002139	GUY R BRADSHAW	12/2/1947	437	Not Available	3	387	22	Not Available	Not Available	Not Available
DO002148	LEON JARRETT	12/10/1947	455	Not Available	2	Not Available	15	3	3	Not Available
DO002153	GUY R BRADSHAW	12/21/1947	440	Not Available	3	404	20	Not Available	Not Available	Not Available
DO002172	EDGAR C CUSICK	12/17/1947	150	Not Available	2	95	10	3	14	Not Available
DO002177	LEON JARRETT	12/19/1947	567	Not Available	2	535	30	Not Available	Not Available	Not Available
DO002188	SHANNAHAN WELL CO	5/8/1948	790	Not Available	6	227	8	12	40	Not Available
DO002199	LEON JARRETT	1/15/1948	365	Not Available	3	105	15	39	39	Not Available
DO002219	EDGAR C CUSICK	2/21/1948	476	Not Available	2	414	18	16	25	Not Available
DO002235	LEON JARRETTS	2/20/1948	370	Not Available	3	105	18	49	Not Available	63
DO002317	EDGAR C CUSICK	3/22/1948	380	Not Available	3	105	18	42	55	Not Available
DO002331	LEON JARRETT	3/12/1948	485	Not Available	2	420	15	15	15	Not Available
DO002332	LEON JARRETT	3/20/1948	504	Not Available	2	430	20	15	15	Not Available
DO002371	EDGAR C CUSICK	3/17/1948	150	Not Available	2	90	9	8	14	Not Available
DO002403	LEON JARRETT	4/5/1948	282	Not Available	3	250	20	14	14	Not Available
DO002462	LEON JARRETT	4/10/1948	504	Not Available	2	437	15	5	5	Not Available
DO002483	LEON JARRETT	4/23/1948	504	Not Available	2	465	15	4	4	Not Available
DO002513	GUY R BRADSHAW	4/23/1948	400	Not Available	3	105	20	Not Available	Not Available	Not Available
DO002575	GUY R BRADSHAW	4/30/1948	400	Not Available	3	105	20	Not Available	Not Available	Not Available
DO002577	LEON JARRETT	5/11/1948	367	Not Available	3	105	15	38	38	Not Available
DO002578	LEON JARRETT	5/22/1948	399	Not Available	3	105	15	69	75	Not Available
DO002639	GUY R BRADSHAW	5/13/1948	360	Not Available	3	84	20	Not Available	Not Available	Not Available
DO002698	GUY R BRADSHAW	5/24/1948	376	Not Available	3	84	20	Not Available	Not Available	Not Available
DO002721	LEON JARRETT	6/3/1948	504	Not Available	2	Not Available	20	3	Not Available	Not Available
DO002738	GUY R BRADSHAW	6/4/1948	376	Not Available	3	84	20	Not Available	Not Available	Not Available
DO002780	GUY R BRADSHAW	6/14/1948	370	Not Available	3	336	20	Not Available	Not Available	Not Available
DO002817	LEON JARRETT	7/25/1948	489	Not Available	3	483	15	2	8	Not Available
DO002825	GUY R BRADSHAW	7/8/1948	73	Not Available	6	53	150	Not Available	Not Available	Not Available
DO002841	LEON JARRETT	7/31/1948	504	Not Available	2	483	15	2	6	Not Available
DO002845	EDGAR CUSICK	6/29/1948	387	Not Available	3	340	30	11	15	Not Available
DO002846	EDGAR CUSICK	7/10/1948	450	Not Available	2	400	25	16	20	Not Available
DO002849	LEON JARRETT	9/6/1948	430	Not Available	3	105	15	60	73	Not Available
DO002900	GUY R BRADSHAW	7/16/1948	500	Not Available	2	Not Available	20	Not Available	Not Available	Not Available
DO002913	LEON L JARRETT	9/18/1948	515	Not Available	2	483	15	2	8	Not Available
DO002963	SHANNAHAN WELL CO	7/27/1948	67	Not Available	3	56	130	4	15	Not Available
DO003028	GUY R BRADSHAW	8/24/1948	500	Not Available	4	100	50	Not Available	Not Available	Not Available
DO003073	LEON L JARRETT	9/5/1948	545	Not Available	2	Not Available	15	12	Not Available	Not Available
DO003079	GUY R BRADSHAW	9/6/1948	400	Not Available	2	336	20	Not Available	Not Available	Not Available
DO003161	LEON J JARRETT	9/29/1948	495	Not Available	2	Not Available	12	Not Available	Not Available	Not Available
DO003287	GUY R BRADSHAW	10/28/1948	500	Not Available	2	490	20	Not Available	Not Available	Not Available
DO003352	GUY R BRADSHAW	11/8/1948	400	Not Available	3	105	25	42	46	Not Available
DO003428	GUY R BRADSHAW	11/24/1948	215	Not Available	3	105	18	60	67	Not Available
DO003534	EDGAR C CUSICK	1/10/1949	475	Not Available	2	430	28	2	7	Not Available
DO003556	EDGAR C CUSICK	1/21/1949	354	Not Available	2	315	21	14	24	Not Available
DO003661	EDGAR CUSICK	3/19/1949	484	Not Available	2	405	20	2	7	Not Available
DO003825	EDGAR C CUSICK	5/5/1949	373	Not Available	3	94	25	37	42	Not Available
DO003846	GUY R BRADSHAW	4/15/1949	420	Not Available	3	105	22	45	50	Not Available
DO003911	EDGAR C CUSICK	5/14/1949	470	Not Available	2	435	25	2	5	Not Available
DO003912	ROBERT BALDWIN	5/3/1949	540	Not Available	2	Not Available	10	4	5	Not Available
DO003946	GUY R BRADSHAW	5/15/1949	490	Not Available	Not Available	Not Available	23	5	15	Not Available
DO003964	R K BALDWIN	5/29/1949	505	Not Available	Not Available	Not Available	10	2	2	Not Available
DO004024	GUY R BRADSHAW	1/1/1949	361	Not Available	Not Available	87	20	36	43	Not Available
DO004030	EDGAR C CUSICK	5/30/1949	420	Not Available	Not Available	Not Available	25	23	30	Not Available
DO004031	EDGAR C CUSICK	5/31/1949	434	Not Available	Not Available	Not Available	25	4	7	Not Available
DO004038	R K BALDWIN	6/28/1949	360	Not Available	Not Available	Not Available	8	67	67	Not Available
DO004209	GUY R BRADSHAW	6/30/1949	504	Not Available	Not Available	10	20	Not Available	Not Available	Not Available
DO004251	GUY R BRADSHAW	7/13/1949	504	Not Available	Not Available	10	22	Not Available	Not Available	Not Available
DO004252	GUY R BRADSHAW	7/8/1949	310	Not Available	Not Available	5	18	Not Available	Not Available	Not Available
DO004271	EDGAR C CUSICK	8/3/1949	323	Not Available	Not Available	Not Available	18	43	48	Not Available
DO004281	ROBERT BALDWIN	8/5/1949	490	Not Available	Not Available	Not Available	10	4	4	Not Available
DO004299	GUY R BRADSHAW	7/18/1949	290	Not Available	6	10	183	1	Not Available	Not Available
DO004464	GUY R BRADSHAW	8/7/1949	411	Not Available	Not Available	386	12	48	Not Available	Not Available
DO004544	GUY R BRADSHAW	8/18/1949	507	Not Available	Not Available	414	15	14	Not Available	Not Available
DO004574	EDGAR C CUSICK	8/12/1949	473	Not Available	Not Available	453	22	6	12	Not Available
DO004575	EDGAR C CUSICK	9/8/1949	501	Not Available	Not Available	468	28	3	10	Not Available
DO004647	GUY R BRADSHAW	9/1/1949	160	Not Available	Not Available	95	5	10	Not Available	Not Available
DO004664	ROBERT BALDWIN	8/19/1949	585	Not Available	Not Available	Not Available	10	3	84	Not Available
