PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
FR000014	JOHN A GREENE	7/1/1945	120	Not Available	6	Not Available	1	30	Not Available	Not Available
FR000095	H E & C L WANTZ	10/19/1945	75	Not Available	6	10	15	30	Not Available	Not Available
FR000105	JOHN A GREENE	10/24/1945	112	Not Available	Not Available	Not Available	10	40	40	Not Available
FR000115	H E & C L WANTZ	10/27/1945	67	Not Available	Not Available	Not Available	7	Not Available	Not Available	Not Available
FR000219	H E & C L WANTZ	2/23/1946	94	Not Available	6	2	22	Not Available	Not Available	Not Available
FR000529	H E & C L WANTZ	6/22/1946	83	Not Available	6	26	30	28	Not Available	Not Available
FR000555	HARRY GREEN	9/30/1946	40	Not Available	6	Not Available	6	18	18	Not Available
FR000582	H E & C L WANTZ	7/13/1946	82	Not Available	Not Available	Not Available	30	Not Available	Not Available	Not Available
FR000760	MAURICE OUTERMAHLEN	9/23/1946	53	Not Available	Not Available	Not Available	6	20	30	Not Available
FR000772	COLUMBIA PUMP & WELL	9/4/1946	155	Not Available	6	110	30	30	60	Not Available
FR000846	H E & C L WANTZ	9/27/1946	79	Not Available	6	75	5	16	Not Available	Not Available
FR000855	H E & C L WANTZ	10/7/1946	100	Not Available	Not Available	6	Not Available	21	Not Available	Not Available
FR000876	H E & C L WANTZ	10/14/1946	67	Not Available	6	64	48	Not Available	Not Available	Not Available
FR000902	H E & C L WANTZ	11/7/1946	191	Not Available	6	52	21	Not Available	Not Available	Not Available
FR000913	H E & C L WANTZ	11/13/1946	94	Not Available	6	9	21	Not Available	Not Available	Not Available
FR000956	H E & C L WANTZ	11/26/1946	88	Not Available	6	2	17	Not Available	Not Available	Not Available
FR000974	H E & C L WANTZ	12/7/1946	62	Not Available	Not Available	24	18	Not Available	Not Available	Not Available
FR001021	H E & C L WANTZ	12/23/1946	82	Not Available	6	74	18	Not Available	Not Available	Not Available
FR001033	JOSEPH M HOLTZMAN	12/19/1946	77	Not Available	6	36	10	22	Not Available	Not Available
FR001071	H E & C L WANTZ	2/11/1946	87	Not Available	Not Available	8	20	Not Available	Not Available	Not Available
FR001089	JOSEPH M HOLTZMAN	1/21/1947	66	Not Available	6	45	5	41	51	Not Available
FR001216	F N HAGMANN JR	3/14/1947	954	Not Available	6	245	190	45	Not Available	Not Available
FR001263	JOSEPH M HOLTZMAN	3/28/1947	77	Not Available	6	15	5	42	66	Not Available
FR001461	COLUMBIA PUMP & WELL	8/1/1947	350	Not Available	8	195	40	30	150	Not Available
FR001475	DANIEL F MYERS	5/27/1947	45	Not Available	6	41	3	0	8	Not Available
FR001476	DANIEL F MYERS	5/30/1947	43	Not Available	7	33	3	20	6	Not Available
FR001512	THEODORE W OWINGS	6/9/1947	98	Not Available	6	11	20	35	Not Available	Not Available
FR001555	CHARLES SELDERS	7/25/1947	370	Not Available	12	17	2	27	240	Not Available
FR001678	JOSEPH M HOLTZMAN	8/7/1947	89	Not Available	6	21	4	30	Not Available	Not Available
FR001760	H E & C L WANTZ	8/22/1947	70	Not Available	6	12	Not Available	42	Not Available	Not Available
FR001790	H E & C L WANTZ	9/3/1947	60	Not Available	6	4	Not Available	41	Not Available	Not Available
FR002022	HARRY GREEN	6/18/1948	130	Not Available	6	20	10	50	70	Not Available
FR002145	H E & C L WANTZ	12/2/1947	76	Not Available	6	7	10	10	Not Available	Not Available
FR002147	H E & C L WANTZ	12/5/1947	36	Not Available	6	7	Not Available	Not Available	Not Available	Not Available
FR002276	H E & C L WANTZ	2/21/1948	98	Not Available	6	8	Not Available	10	Not Available	Not Available
FR002909	H G STOTTLEMYER	8/17/1948	55	Not Available	6	30	30	20	20	Not Available
FR002910	H G STOTTLEMYER	1/3/1949	90	Not Available	6	35	20	30	40	Not Available
FR003088	EDWARD BROWN	9/24/1948	80	Not Available	6	Not Available	Not Available	35	Not Available	Not Available
FR003107	H E & C L WANTZ	9/17/1948	77	Not Available	6	10	Not Available	23	Not Available	Not Available
FR003321	H E & C L WANTZ	10/25/1948	60	Not Available	6	12	Not Available	17	Not Available	Not Available
FR003354	DEWEY BROWN	11/12/1948	106	Not Available	4	24	Not Available	70	Not Available	Not Available
FR003369	WADE CORUN	3/19/1948	253	Not Available	6	12	10	8	Not Available	Not Available
FR003385	C W CROMWELL	12/10/1948	133	Not Available	6	40	3	63	Not Available	Not Available
FR003387	C A CROMWELL	10/22/1948	82	Not Available	6	5	2	40	Not Available	Not Available
FR003388	C A CROMWELL	10/28/1948	50	Not Available	6	10	6	40	35	Not Available
FR003394	CURTIS A CROMWELL	11/19/1948	53	Not Available	6	Not Available	3	Not Available	Not Available	Not Available
FR003398	JOHN V SHAFF	11/19/1948	48	Not Available	6	10	4	12	15	Not Available
FR003399	JOHN V SHAFF	12/9/1948	105	Not Available	6	17	15	10	20	Not Available
FR003400	AUSTIN KEYSER	11/12/1948	60	Not Available	6	Not Available	1	25	10	Not Available
FR003411	H G STOTTLEMYER	6/4/1949	80	Not Available	6	9	5	35	5	70
FR003418	DEWEY BROWN	12/21/1948	67	Not Available	4	33	Not Available	Not Available	Not Available	Not Available
FR003420	DEWEY BROWN	11/23/1948	36	Not Available	6	Not Available	Not Available	15	Not Available	Not Available
FR003423	JOHN V SHAFF	11/28/1948	79	Not Available	6	22	8	4	15	Not Available
FR003436	CURTIS A CROMWELL	3/4/1949	150	Not Available	6	13	25	5	5	Not Available
FR003440	DEWEY BROWN	12/8/1948	58	Not Available	Not Available	40	Not Available	40	Not Available	Not Available
FR003446	JOHN V SHAFF	12/16/1948	87	Not Available	6	Not Available	4	8	14	Not Available
FR003452	JACK CALVIN HARLEY	11/24/1948	58	Not Available	6	12	7	43	50	Not Available
FR003453	AUSTIN R KEYSER INC	12/4/1948	45	Not Available	6	Not Available	3	25	15	Not Available
FR003454	AUSTIN R KEYSER INC	11/27/1948	84	Not Available	6	Not Available	4	40	15	Not Available
FR003463	DEWEY BROWN	12/27/1948	49	Not Available	6	Not Available	Not Available	15	Not Available	Not Available
FR003471	R A HEINER	12/18/1948	100	Not Available	6	Not Available	7	36	36	Not Available
FR003473	JACK C HARLEY	12/6/1948	30	Not Available	6	18	3	45	62	Not Available
FR003474	DEWEY BROWN	1/20/1949	72	Not Available	6	35	Not Available	30	Not Available	Not Available
FR003480	JOHN V SHAFF	12/17/1949	120	Not Available	6	40	Not Available	30	50	Not Available
FR003495	EDWARD BROWN	12/28/1948	110	Not Available	Not Available	10	10	80	12	Not Available
FR003497	EDWARD BROWN	12/17/1948	70	Not Available	Not Available	18	6	30	30	Not Available
FR003501	WADE CORUN	12/23/1948	72	Not Available	6	21	7	31	Not Available	Not Available
FR003511	DEWEY BROWN	1/1/1949	50	Not Available	Not Available	45	Not Available	30	Not Available	Not Available
FR003512	JOHN V SHAFF	12/31/1948	55	Not Available	6	Not Available	4	23	23	Not Available
FR003530	CURTIS A CROMWELL	1/6/1949	163	Not Available	6	150	4	6	163	12
FR003549	JACK C HARLEY	1/17/1949	90	Not Available	6	12	3	33	85	Not Available
FR003562	DEWEY BROWN	2/15/1949	68	Not Available	Not Available	10	Not Available	40	Not Available	Not Available
FR003564	DEWEY BROWN	2/21/1949	84	Not Available	Not Available	8	Not Available	30	Not Available	Not Available
FR003580	JACK C HARLEY	2/4/1949	124	Not Available	6	Not Available	3	6	110	Not Available
FR003647	CURTIS A CROMWELL	3/2/1948	35	Not Available	5	30	Not Available	Not Available	Not Available	Not Available
FR003648	DEWEY BROWN	3/5/1949	68	Not Available	6	11	Not Available	40	Not Available	Not Available
FR003698	JACK C HARLEY	3/11/1949	65	Not Available	6	12	3	33	85	Not Available
FR003704	AUSTIN R KEYSER INC	3/15/1949	30	Not Available	6	28	3	10	20	Not Available
FR003705	AUSTIN R KEYSER INC	3/20/1949	90	Not Available	6	6	3	15	50	Not Available
FR003706	AUSTIN R KEYSER INC	4/20/1949	60	Not Available	6	40	6	30	40	Not Available
FR003728	JACK C HARLEY	3/18/1949	40	Not Available	6	30	6	35	55	Not Available
FR003730	CURTIS A CROMWELL	3/18/1949	65	Not Available	5	48	20	12	20	Not Available
FR003738	THEODORE W OWINGS	4/2/1949	125	Not Available	6	70	20	40	100	110
FR003756	JOHN V SHAFF	3/20/1949	80	Not Available	6	Not Available	5	25	35	Not Available
FR003757	JOHN V SHAFF	3/23/1949	62	Not Available	6	25	10	20	30	Not Available
FR003806	AUSTIN R KEYSER INC	4/6/1949	56	Not Available	7	24	3	20	50	Not Available
FR003807	AUSTIN R KEYSER INC	4/10/1949	65	Not Available	6	22	3	25	55	Not Available
FR003829	K P STATTLEMYER	6/4/1949	80	Not Available	6	Not Available	5	35	5	Not Available
FR003840	EDWAARD BROWN	5/6/1949	90	Not Available	Not Available	Not Available	10	40	75	Not Available
FR003874	WADE CORUN	5/7/1949	82	Not Available	6	12	7	19	Not Available	76
FR003876	JACK C HARLEY	4/23/1949	55	Not Available	6	45	Not Available	45	45	Not Available
FR003919	JOHN V SHAFF	5/18/1949	90	Not Available	6	22	10	20	60	Not Available
FR003937	H E & C L WANTZ	5/27/1949	217	Not Available	6	10	Not Available	37	Not Available	Not Available
FR003958	IRA F ROCK	5/11/1949	55	Not Available	6	13	3	30	40	Not Available
FR004002	DEWEY BROWN	6/7/1949	84	Not Available	Not Available	20	Not Available	60	Not Available	Not Available
FR004032	EDWARD BROWN	6/9/1949	45	Not Available	6	20	10	25	32	Not Available
FR004044	JACK C HARLEY	5/30/1949	30	Not Available	6	21	5	30	45	Not Available
FR004068	DEWEY BROWN	6/20/1949	151	Not Available	Not Available	65	Not Available	73	Not Available	Not Available
FR004075	AUSTIN R KEYSER INC	5/30/1949	140	Not Available	6	11	3	30	10	Not Available
FR004076	AUSTIN R KEYSER INC	6/1/1949	82	Not Available	6	33	15	20	20	Not Available
FR004111	JACK C HARLEY	6/11/1949	50	Not Available	6	4	3	6	40	Not Available
FR004141	H E & C L WANTZ	7/12/1949	75	Not Available	6	52	Not Available	20	Not Available	Not Available
FR004149	AUSTIN R KEYSER INC	6/10/1949	79	Not Available	6	32	10	30	30	Not Available
FR004157	JACK C HARLEY	6/29/1949	44	Not Available	6	44	20	17	19	Not Available
FR004158	JACK C HARLEY	6/17/1949	77	Not Available	6	6	3	12	67	Not Available
FR004159	JACK C HARLEY	6/21/1949	55	Not Available	6	6	12	17	17	Not Available
FR004174	AUSTIN R KEYSER INC	7/28/1949	45	Not Available	6	33	2	25	Not Available	Not Available
FR004175	AUSTIN R KEYSER INC	7/22/1949	47	Not Available	6	33	6	25	35	Not Available
FR004189	WADE CORUN	7/1/1949	85	Not Available	6	12	10	22	Not Available	Not Available
FR004190	WADE CORUN	6/25/1949	83	Not Available	6	6	10	16	Not Available	Not Available
FR004202	JACK C HARLEY	7/7/1949	76	Not Available	6	8	3	30	65	Not Available
FR004210	C A CROMWELL	7/6/1949	85	Not Available	6	10	3	20	60	Not Available
FR004255	JACK C HARLEY	7/20/1949	100	Not Available	6	Not Available	3	50	110	Not Available
FR004267	CLEASON FAIR JR	7/21/1949	66	Not Available	6	6	40	6	2	Not Available
FR004324	C A CROMWELL	7/16/1949	96	Not Available	6	10	6	34	76	Not Available
FR004357	AUSTIN R KEYSER INC	8/2/1949	71	Not Available	6	22	3	30	55	Not Available
FR004398	CLEASON G FAIR JR	7/29/1949	135	Not Available	6	14	12	40	85	120
FR004401	JOHN V SHAFF	7/26/1949	90	Not Available	6	90	10	20	30	Not Available
FR004406	AUSTIN R KEYSER INC	7/30/1949	52	Not Available	6	30	10	20	20	Not Available
FR004439	AUSTIN KEYSER	8/5/1949	22	Not Available	6	5	10	10	10	Not Available
FR004449	AUSTIN R KEYSER INC	8/5/1949	50	Not Available	6	36	10	25	25	Not Available
FR004462	JOSEPH M HOLTZMAN	8/6/1949	84	Not Available	6	16	3	13	2	Not Available
FR004471	W B HILTON	8/16/1949	102	Not Available	6	12	5	16	30	Not Available
FR004478	JOHN V SHAFF	8/8/1949	90	Not Available	6	22	10	40	39	Not Available
FR004480	C A CROMWELL	8/5/1949	72	Not Available	6	20	7	15	15	Not Available
FR004486	JOHN V SHAFF	7/6/1949	78	Not Available	6	78	4	12	30	Not Available
FR004487	WADE CORUN	8/2/1949	57	Not Available	6	12	12	20	Not Available	Not Available
FR004500	AUSTIN R KEYSER INC	8/8/1949	52	Not Available	6	32	10	20	20	Not Available
FR004503	AUSTIN R KEYSER INC	8/5/1949	40	Not Available	6	22	10	15	15	Not Available
FR004504	WADE CORUN	8/15/1949	76	Not Available	6	14	15	22	Not Available	Not Available
FR004534	WADE CORUN	8/13/1949	64	Not Available	6	12	15	30	Not Available	Not Available
FR004560	AUSTIN R KEYSER INC	4/10/1950	52	Not Available	6	36	5	20	25	Not Available
FR004561	JACK C HARLEY	8/27/1949	133	Not Available	6	Not Available	10	31	115	Not Available
FR004562	JACK C HARLEY	8/31/1949	74	Not Available	6	44	7	19	60	Not Available
