PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
GA000042	AUBREY C BRENNEMAN	9/28/1945	315	Not Available	6	37	40	138	Not Available	Not Available
GA000080	AUBREY C BRENNEMAN	2/5/1946	55	Not Available	6	21	20	10	Not Available	Not Available
GA000081	AUBREY C BRENNEMAN	10/4/1945	55	Not Available	6	23	40	22	22	Not Available
GA000082	AUBREY C BRENNEMAN	2/20/1946	120	Not Available	6	21	10	20	Not Available	Not Available
GA000096	AUBREY C BRENNEMAN	10/18/1945	100	Not Available	6	Not Available	20	30	30	Not Available
GA000097	AUBREY C BRENNEMAN	10/16/1945	120	Not Available	6	25	5	35	Not Available	Not Available
GA000113	AUBREY C BRENNEMAN	10/20/1945	95	Not Available	6	26	7	45	Not Available	Not Available
GA000114	AUBREY C BRENNEMAN	12/3/1945	80	Not Available	6	24	10	22	24	Not Available
GA000137	AUBREY C BRENNEMAN	11/29/1945	100	Not Available	6	65	20	18	18	Not Available
GA000138	AUBREY C BRENNEMAN	12/6/1945	65	Not Available	6	17	20	18	18	Not Available
GA000139	AUBREY C BRENNEMAN	12/12/1945	80	Not Available	6	11	5	Not Available	Not Available	Not Available
GA000253	AUBREY C BRENNEMAN	4/13/1946	198	Not Available	6	42	35	75	Not Available	Not Available
GA000296	AUBREY C BRENNEMAN	3/23/1946	50	Not Available	6	22	40	4	20	Not Available
GA000420	JACOB MILLER	6/25/1946	110	Not Available	6	96	40	40	40	Not Available
GA000426	W F KELLEY	5/24/1946	63	Not Available	6	15	5	30	Not Available	Not Available
GA000483	W F KELLEY	6/1/1946	60	Not Available	6	24	18	30	30	Not Available
GA000484	W F KELLEY	6/3/1946	43	Not Available	6	8	20	7	10	Not Available
GA000506	W F KELLEY	6/11/1946	50	Not Available	6	14	6	6	7	Not Available
GA000507	W F KELLEY	6/13/1946	60	Not Available	6	20	6	30	Not Available	Not Available
GA000516	W F KELLEY	6/15/1946	70	Not Available	6	8	3	28	Not Available	Not Available
GA000517	W F KELLEY	7/2/1946	45	Not Available	6	31	1200	20	32	Not Available
GA000541	W F KELLEY	8/9/1946	85	Not Available	6	24	15	12	75	Not Available
GA000542	W F KELLEY	8/10/1946	50	Not Available	6	29	15	12	15	Not Available
GA000543	W F KELLEY	8/8/1946	75	Not Available	6	37	1200	9	12	Not Available
GA000544	W F KELLEY	8/20/1946	110	Not Available	6	17	6	29	Not Available	Not Available
GA000564	AUBREY C BRENNEMAN	7/24/1946	192	Not Available	6	48	30	40	40	Not Available
GA000616	JACOB J MILLER	8/8/1946	58	Not Available	6	48	10	17	25	Not Available
GA000626	W F KELLEY	9/30/1946	326	Not Available	10	28	25	108	142	Not Available
GA000671	JACOB MILLER	7/29/1946	65	Not Available	6	55	320	18	30	4
GA000708	AUBREY C BRENNEMAN	8/14/1946	150	Not Available	6	36	12	20	30	Not Available
GA000709	W F KELLEY	8/13/1946	45	Not Available	6	20	4	8	Not Available	Not Available
