PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
PG000043	WASH PUMP & WELL CO	12/3/1945	291	Not Available	6	Not Available	40	80	200	Not Available
PG000062	WASH PUMP & WELL CO	1/1/1946	192	Not Available	6	10	30	75	140	Not Available
PG000070	WASH PUMP & WELL CO	1/11/1964	252	Not Available	6	240	40	50	155	Not Available
PG000072	HENRY A GROPP	11/9/1945	162	Not Available	8	150	300	0	57	Not Available
PG000087	COLUMBIA PUMP & WELL	9/20/1945	476	Not Available	6	64	20	230	240	Not Available
PG000088	COLUMBIA PUMP & WELL	10/22/1945	334	Not Available	6	324	10	120	130	Not Available
PG000136	HARRY GREEN	11/20/1945	80	Not Available	6	45	10	30	55	Not Available
PG000155	THEODORE N SMITH	1/15/1946	186	Not Available	6	135	Not Available	53	Not Available	Not Available
PG000224	WASH PUMP & WELL CO	3/7/1946	120	Not Available	6	Not Available	10	100	115	Not Available
PG000225	WASH PUMP & WELL CO	5/13/1946	488	Not Available	6	8	20	150	190	Not Available
PG000297	WASH PUMP & WELL CO	6/20/1946	385	Not Available	8	369	50	173	196	Not Available
PG000318	COLUMBIA PUMP & WELL	4/18/1946	327	Not Available	6	Not Available	10	200	230	Not Available
PG000330	TAYLOR LEATHERBURY	4/24/1946	200	Not Available	2	180	15	Not Available	Not Available	Not Available
PG000339	HENRY A GROPP	9/10/1946	605	Not Available	Not Available	Not Available	540	102	224	Not Available
PG000340	WILLIAM A LYNCH	4/15/1946	68	Not Available	6	38	7	31	Not Available	Not Available
PG000498	GEORGE E DERFLINGER	6/7/1946	92	Not Available	6	Not Available	25	20	25	Not Available
PG000525	GEORGE E DERFLINGER	6/13/1946	79	Not Available	6	70	20	39	42	Not Available
PG000545	GEORGE E DERFLINGER	6/21/1946	75	Not Available	6	Not Available	18	35	40	Not Available
PG000567	WASH PUMP & WELL CO	7/15/1946	262	Not Available	8	170	180	23	110	Not Available
PG000628	THEODORE N SMITH	7/27/1946	80	Not Available	6	79	Not Available	55	Not Available	Not Available
PG000631	GEORGE E DERFLINGER	8/3/1946	123	Not Available	6	Not Available	7	25	60	Not Available
PG000701	F B ROGERS	8/10/1946	107	Not Available	6	Not Available	21	19	19	Not Available
PG000765	THEODORE N SMITH	12/23/1946	330	Not Available	6	303	Not Available	170	Not Available	Not Available
PG000766	GEORGE E DERFLINGER	8/28/1946	124	Not Available	6	Not Available	20	98	102	Not Available
PG000773	WASH PUMP & WELL CO	10/7/1946	270	Not Available	6	Not Available	15	40	70	Not Available
PG000778	GEORGE E DERFLINGER	9/9/1946	164	Not Available	6	Not Available	10	62	121	Not Available
PG000782	COLUMBIA PUMP & WELL	9/20/1946	350	Not Available	6	340	50	225	250	Not Available
PG000820	COLUMBIA PUMP & WELL	9/27/1946	244	Not Available	6	Not Available	40	60	70	Not Available
PG000851	GEORGE E DERFLINGER	9/30/1946	85	Not Available	6	Not Available	15	35	40	Not Available
PG000859	M H KENDALL	9/28/1946	108	Not Available	6	Not Available	Not Available	Not Available	Not Available	Not Available
PG000862	GEORGE E DERFLINGER	10/7/1946	89	Not Available	6	Not Available	15	37	45	Not Available
PG000873	WASH PUMP & WELL CO	10/31/1946	342	Not Available	6	7	40	200	235	Not Available
PG000906	GEORGE E DERFLINGER	11/4/1946	184	Not Available	6	Not Available	5	30	80	Not Available
PG000926	GEORGE E DERFLINGER	11/14/1946	136	Not Available	6	Not Available	7	45	100	Not Available
PG000930	COLUMBIA PUMP & WELL	11/15/1946	173	Not Available	6	Not Available	20	6	10	Not Available
PG000989	GEORGE E DERFLINGER	11/30/1946	135	Not Available	6	Not Available	1	80	85	Not Available
