PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
SO000023	EDGAR C CUSICK	9/20/1945	841	Not Available	2	56	Not Available	Not Available	Not Available	Not Available
SO000047	EDGAR C CUSICK	10/11/1945	840	Not Available	3	567	Not Available	Not Available	Not Available	Not Available
SO000076	"CUSICK, EDGAR C"	10/31/1945	865	Not Available	3	837	Not Available	Not Available	Not Available	Not Available
SO000077	EDGAR C CUSICK	2/9/1946	852	Not Available	3	567	Not Available	Not Available	Not Available	Not Available
SO000133	"CUSICK, EDGAR C"	3/27/1946	850	Not Available	3	567	Not Available	Not Available	Not Available	Not Available
SO000162	"WHITE, ROGER B"	4/18/1946	201	Not Available	2	Not Available	Not Available	8	Not Available	Not Available
SO000163	"WHITE, ROGER B"	11/15/1945	144	Not Available	2	134	20	3	Not Available	Not Available
SO000164	"WHITE, ROGER B"	5/2/1946	78	Not Available	3	63	Not Available	4	Not Available	Not Available
SO000295	EDGAR C CUSICK	5/10/1946	860	Not Available	3	567	Not Available	Not Available	Not Available	Not Available
SO000366	"CUSICK, EDGAR C"	5/25/1946	189	Not Available	3	90	25	22	26	Not Available
SO000382	ROGER B WHITE	5/15/1946	122	Not Available	3	Not Available	40	4	Not Available	Not Available
SO000383	ROGER B WHITE	5/11/1946	136	Not Available	2	Not Available	Not Available	2	Not Available	Not Available
SO000384	ROGER B WHITE	5/10/1946	136	Not Available	2	Not Available	50	4	Not Available	Not Available
SO000385	ROGER B WHITE	5/7/1946	139	Not Available	2	Not Available	40	3	Not Available	Not Available
SO000456	ROGER B WHITE	5/22/1946	144	Not Available	2	Not Available	30	4	Not Available	Not Available
SO000457	ROGER B WHITE	5/17/1946	143	Not Available	2	Not Available	30	3	Not Available	Not Available
SO000481	EDGAR C CUSICK	5/30/1946	190	Not Available	4	50	25	2	Not Available	Not Available
SO000482	EDGAR C CUSICK	6/2/1946	188	Not Available	4	90	25	22	26	Not Available
SO000488	EDGAR C CUSICK	6/20/1946	152	Not Available	4	50	10	6	Not Available	Not Available
SO000489	EDGAR C CUSICK	8/14/1946	155	Not Available	4	50	10	26	22	Not Available
SO000585	EDGAR C CUSICK	8/30/1946	60	Not Available	2	43	25	5	Not Available	Not Available
SO000586	EDGAR C CUSICK	12/5/1946	140	Not Available	2	120	25	4	2	Not Available
SO000588	EDGAR C CUSICK	6/29/1946	189	Not Available	4	50	10	26	22	Not Available
SO000589	EDGAR C CUSICK	8/17/1946	183	Not Available	4	50	10	22	21	Not Available
SO000663	ROGER B WHITE	4/1/1948	150	Not Available	3	84	Not Available	Not Available	Not Available	Not Available
SO000664	ROGER B WHITE	8/15/1946	85	Not Available	2	Not Available	30	3	Not Available	Not Available
SO000665	ROGER B WHITE	9/14/1946	194	Not Available	3	84	12	3	Not Available	Not Available
SO000734	ROGER B WHITE	9/21/1946	94	Not Available	2	82	15	2	Not Available	Not Available
SO000735	ROGER B WHITE	9/24/1946	98	Not Available	2	87	12	3	Not Available	Not Available
SO000761	EDGAR C CUSICK	8/28/1946	179	Not Available	3	90	20	4	Not Available	Not Available
SO000762	EDGAR C CUSICK	9/6/1946	165	Not Available	2	145	25	3	3	Not Available
SO000800	EDGAR C CUSICK	9/12/1946	210	Not Available	2	200	25	6	4	Not Available
SO000816	EDGAR C CUSICK	9/26/1946	160	Not Available	2	150	15	4	6	Not Available
SO000817	EDGAR C CUSICK	9/18/1946	64	Not Available	2	8	15	6	3	Not Available
SO000837	EDGAR C CUSICK	10/31/1946	100	Not Available	2	88	30	2	6	Not Available
SO000841	WILLIE TODD	9/21/1946	121	Not Available	2	Not Available	10	8	8	Not Available
SO000842	WILLIE TODD	9/23/1946	122	Not Available	2	Not Available	10	8	8	Not Available
SO000849	ROGER B WHITE	4/10/1952	840	Not Available	3	107	4	5	Not Available	Not Available
SO000854	EDGAR C CUSICK	10/16/1946	92	Not Available	2	82	18	3	4	Not Available
SO000869	EDGAR C CUSICK	10/11/1946	108	Not Available	3	20	25	8	6	Not Available
SO000870	EDGAR C CUSICK	10/8/1946	192	Not Available	3	120	20	3	4	Not Available
SO000903	WILLIE TODD	10/17/1946	144	Not Available	3	144	10	8	8	Not Available
SO000904	WILLIE TODD	10/20/1946	140	Not Available	4	Not Available	10	8	8	Not Available
SO000905	WILLIE TODD	10/20/1946	693	Not Available	2	Not Available	10	8	8	Not Available
SO000917	EDGAR C CUSICK	11/8/1946	196	Not Available	2	168	20	3	4	Not Available
SO000944	EDGAR C CUSICK	11/20/1946	90	Not Available	2	78	30	3	4	Not Available
SO000945	"CUSICK, EDGAR C"	11/15/1946	196	Not Available	2	174	20	3	4	Not Available
SO001010	"CUSICK, EDGAR C"	11/29/1946	90	Not Available	2	75	25	3	4	Not Available
SO001019	EDGAR C CUSICK	12/28/1946	238	Not Available	2	223	25	4	6	Not Available
SO001020	EDGAR C CUSICK	12/24/1946	235	Not Available	2	220	30	4	6	Not Available
SO001024	E C CUSICK	12/11/1946	140	Not Available	2	128	30	2	3	Not Available
SO001064	"WHITE, ROGER B"	12/28/1946	183	Not Available	3	105	18	7	Not Available	Not Available
SO001102	EDGAR C CUSICK	9/27/1947	190	Not Available	3	66	28	8	2	Not Available
SO001105	EDGAR C CUSICK	8/22/1947	233	Not Available	3	215	50	3	6	Not Available
SO001272	EDGAR C CUSICK	6/24/1947	256	Not Available	3	117	20	6	8	Not Available
SO001535	JAMES M FARLON	6/14/1947	150	Not Available	2	Not Available	30	1	Not Available	Not Available
SO001581	EDGAR C CUSICK	6/28/1947	198	Not Available	3	188	22	12	6	Not Available
SO001582	EDGAR C CUSICK	7/1/1947	198	Not Available	3	188	20	3	6	Not Available
SO001583	"FARLON, JAMES M"	6/28/1947	139	Not Available	2	Not Available	8	1	Not Available	Not Available
SO001591	EDGAR C CUSICK	9/13/1947	814	Not Available	3	546	30	6	Not Available	Not Available
SO001604	EDGAR C CUSICK	7/23/1947	155	Not Available	3	130	20	4	6	Not Available
SO001605	EDGAR C CUSICK	7/7/1947	198	Not Available	2	188	20	5	6	Not Available
SO001608	EDGAR C CUSICK	7/22/1947	166	Not Available	2	151	20	4	6	Not Available
SO001609	EDGAR C CUSICK	7/11/1947	210	Not Available	2	195	20	4	6	Not Available
SO001617	EDGAR C CUSICK	7/17/1947	214	Not Available	2	189	20	6	5	Not Available
SO001651	"CUSICK, EDGAR C"	8/9/1947	220	Not Available	2	205	25	5	8	Not Available
SO001652	EDGAR C CUSICK	8/6/1947	81	Not Available	2	46	20	3	6	Not Available
SO001673	EDGAR C CUSICK	8/1/1947	149	Not Available	2	124	12	4	7	Not Available
SO001674	"CUSICK, EDGAR C"	8/14/1947	214	Not Available	2	199	20	4	8	Not Available
SO001742	EDGAR CUSICK	10/6/1947	120	Not Available	2	110	20	3	5	Not Available
SO001789	"CUSICK, EDGAR C"	9/18/1947	136	Not Available	2	126	28	2	5	Not Available
SO001892	EDGAR CUSICK	10/14/1947	150	Not Available	2	125	Not Available	Not Available	Not Available	Not Available
SO001893	"CUSICK, EDGAR C"	11/25/1947	142	Not Available	2	132	30	4	7	Not Available
SO001919	EDGAR CUSICK	10/21/1947	91	Not Available	2	76	Not Available	Not Available	Not Available	Not Available
SO001920	EDGAR CUSICK	10/23/1947	196	Not Available	2	186	Not Available	Not Available	Not Available	Not Available
SO002002	"CUSICK, EDGAR C"	11/19/1947	210	Not Available	2	195	20	1	4	Not Available
SO002003	"CUSICK, EDGAR C"	10/25/1947	195	Not Available	2	185	25	20	3	Not Available
SO002005	EDGAR CUSICK	10/29/1947	195	Not Available	2	185	25	18	5	Not Available
SO002006	EDGAR GUSICK	10/25/1947	116	Not Available	2	91	30	2	6	Not Available
SO002036	EDGAR CUSICK	11/6/1947	170	Not Available	2	149	10	2	7	Not Available
SO002037	"CUSICK, EDGAR C"	11/1/1947	152	Not Available	2	131	15	2	7	Not Available
SO002038	ROGER B WHITE	10/31/1947	210	Not Available	3	105	18	Not Available	Not Available	Not Available
SO002039	"WHITE, ROGER B"	11/29/1947	239	Not Available	3	105	18	5	Not Available	Not Available
SO002065	EDGAR CUSICK	11/15/1947	200	Not Available	2	185	20	6	3	Not Available
SO002097	ROGER B WHITE	11/22/1947	145	Not Available	2	124	15	5	Not Available	Not Available
SO002098	ROGER B WHITE	12/30/1947	90	Not Available	2	77	20	Not Available	Not Available	Not Available
SO002118	"WILSON, ALBERT L"	12/5/1947	84	Not Available	3	25	12	2	12	Not Available
SO002205	PAUL SCHWEITZER	4/24/1948	1302	Not Available	18	85	300	Not Available	Not Available	Not Available
SO002220	"CUSICK, EDGAR C"	5/5/1948	384	Not Available	3	340	40	1	4	Not Available
SO002350	EDGAR C USICK	5/27/1948	151	Not Available	2	116	10	3	8	Not Available
SO002431	EDGAR C CUSICK	4/23/1948	193	Not Available	2	183	Not Available	Not Available	Not Available	Not Available
SO002432	EDGAR C CUSICK	4/8/1948	362	Not Available	2	342	30	Not Available	Not Available	Not Available
SO002433	EDGAR C CUSICK	4/21/1948	237	Not Available	3	84	Not Available	Not Available	Not Available	Not Available
SO002481	"CUSICK, EDGAR C"	5/17/1948	186	Not Available	2	176	30	0	3	Not Available
SO002482	EDGAR C CUSICK	5/22/1948	196	Not Available	2	186	25	Not Available	Not Available	Not Available
SO002498	"WHITE, ROGER B"	7/26/1948	187	Not Available	2	Not Available	8	4	Not Available	Not Available
SO002499	ROGER B WHITE	4/15/1948	54	Not Available	2	Not Available	15	4	Not Available	Not Available
SO002568	EDGAR C CUSICK	5/12/1948	193	Not Available	2	181	25	2	4	Not Available
SO002705	EDGAR C CUSICK	5/29/1948	152	Not Available	2	117	10	1	6	Not Available
SO002747	EDGAR C CUSICK	6/5/1948	152	Not Available	2	112	10	3	15	Not Available
SO002949	EDGAR C CUSICK	8/6/1948	211	Not Available	2	199	25	6	9	Not Available
SO002950	EDGAR C CUSICK	9/23/1948	841	Not Available	3	808	25	Not Available	Not Available	Not Available
SO002951	EDGAR C CUSICK	9/2/1948	871	Not Available	3	840	25	Not Available	Not Available	Not Available
SO002984	EDGAR C CUSICK	8/14/1948	362	Not Available	2	338	30	14	2	Not Available
SO003058	ROGER B WHITE	9/10/1948	87	Not Available	2	Not Available	17	Not Available	Not Available	Not Available
SO003059	ROGER B WHITE	9/8/1948	95	Not Available	2	95	10	6	Not Available	Not Available
SO003062	ROGER B WHITE	9/3/1948	165	Not Available	2	Not Available	10	6	Not Available	Not Available
SO003120	EDGAR C CUSICK	11/11/1948	915	Not Available	3	638	15	Not Available	Not Available	Not Available
SO003134	EDGAR C CUSICK	11/20/1948	188	Not Available	3	156	22	1	3	Not Available
SO003207	ROGER B WHITE	10/7/1948	135	Not Available	2	135	17	6	Not Available	Not Available
SO003208	ROGER B WHITE	10/8/1948	104	Not Available	2	Not Available	18	3	Not Available	Not Available
SO003209	ROGER B WHITE	10/22/1948	78	Not Available	2	Not Available	10	Not Available	Not Available	Not Available
SO003210	EDGAR C CUSICK	12/20/1948	75	Not Available	2	55	35	0	6	Not Available
SO003267	"WHITE, ROGER B"	11/13/1948	208	Not Available	2	208	Not Available	Not Available	Not Available	Not Available
SO003431	EDGAR C CUSICK	12/24/1948	360	Not Available	2	340	28	6	5	Not Available
SO003434	ROGER B WHITE	12/10/1948	88	Not Available	2	Not Available	10	5	Not Available	Not Available
