PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
WI000160	"WHITE, ROGER B"	12/7/1945	99	Not Available	2	90	25	9	Not Available	Not Available
WI000161	"WHITE, ROGER B"	12/3/1945	83	Not Available	2	75	20	7	Not Available	Not Available
WI000381	"WHITE, ROGER B"	6/5/1946	84	Not Available	2	Not Available	40	2	Not Available	Not Available
WI000508	ROGER B WHITE	6/8/1946	103	Not Available	2	Not Available	40	2	Not Available	Not Available
WI000509	ROGER B WHITE	6/10/1946	97	Not Available	2	Not Available	40	2	Not Available	Not Available
WI000539	ROGER B WHITE	6/13/1946	65	Not Available	2	Not Available	30	15	Not Available	Not Available
WI000540	ROGER B WHITE	7/19/1946	93	Not Available	3	Not Available	40	12	Not Available	Not Available
WI000736	"WHITE, ROGER B"	11/9/1946	75	Not Available	2	62	Not Available	4	Not Available	Not Available
WI000737	"WHITE, ROGER B"	9/10/1946	76	Not Available	2	64	10	5	Not Available	Not Available
WI000738	"WHITE, ROGER B"	9/11/1946	73	Not Available	2	63	Not Available	5	Not Available	Not Available
WI000848	"WHITE, ROGER B"	10/5/1946	63	Not Available	2	53	18	6	Not Available	Not Available
WI000958	ROGER B WHITE	11/16/1946	72	Not Available	2	Not Available	Not Available	Not Available	Not Available	Not Available
WI000959	"WHITE, ROGER B"	11/16/1946	74	Not Available	2	60	Not Available	15	Not Available	Not Available
WI001063	"WHITE, ROGER B"	12/23/1946	77	Not Available	2	42	15	2	Not Available	Not Available
WI001086	GUY E WEBB	4/25/1947	231	Not Available	10	167	380	18	117	155
WI001466	"FARLOW, JAMES M"	5/28/1947	69	Not Available	2	60	30	4	Not Available	Not Available
WI001536	"FARLOW, JAMES M"	6/14/1947	94	Not Available	2	80	15	1	Not Available	Not Available
WI001537	"FARLOW, JAMES M"	6/19/1947	69	Not Available	2	Not Available	30	6	Not Available	Not Available
WI001756	M A PENTZ	9/6/1947	75	Not Available	4	Not Available	100	23	35	Not Available
WI001785	SHANNAHAN ARTESIAN	9/6/1947	68	Not Available	10	46	160	14	18	Not Available
WI001857	"PENTZ, M A"	10/15/1947	80	Not Available	6	68	90	15	21	Not Available
WI001898	ROGER B WHITE	9/30/1947	86	Not Available	3	63	25	5	Not Available	Not Available
WI002070	"WHITE, ROGER B"	12/18/1947	130	Not Available	3	Not Available	12	8	Not Available	Not Available
WI002381	A C SCHULTES & SONS	4/25/1948	92	Not Available	6	58	98	20	30	2
WI002382	A C SCHULTES & SONS	4/25/1948	57	Not Available	6	46	60	4	35	Not Available
WI002970	SHANNAHAN ARTESIAN	7/29/1948	86	Not Available	6	45	60	15	44	Not Available
WI003061	ROGER B WHITE	10/1/1948	99	Not Available	3	Not Available	18	7	Not Available	Not Available
WI003313	FRANK J GILINGHAM	11/26/1948	52	Not Available	22	32	450	3	29	49
WI003342	SHANNAHAN ARTESIAN	11/8/1948	71	Not Available	8	41	50	7	14	Not Available
WI003777	L RUDE & SON	1/24/1950	107	Not Available	5	87	50	10	Not Available	Not Available
WI004214	SHANNAHAN ARTESIAN	8/20/1949	224	Not Available	10	194	350	39	85	Not Available
WI004442	SHANNAHAN ARTESIAN	8/4/1949	62	Not Available	16	34	180	12	38	Not Available
WI004761	ROGER B WHITE	10/3/1949	110	Not Available	3	42	20	2	Not Available	Not Available
WI004831	KELLY WELL CO	12/16/1949	70	Not Available	22	Not Available	200	2	50	65
WI004900	"WHITE, ROGER B"	11/15/1949	72	Not Available	3	23	Not Available	Not Available	Not Available	Not Available
WI005546	EDGAR C CUSICK	4/1/1950	202	Not Available	2	188	25	16	22	Not Available
WI006192	ROGER B WHITE	7/1/1950	68	Not Available	3	62	12	6	Not Available	Not Available
