PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
WO002270	PAUL SCHWEITZER	5/6/1948	164	Not Available	8	110	170	23	75	Not Available
WO002648	"NORMAN M. SHANNAHAN, JR."	6/8/1948	366	Not Available	Not Available	306	500	17	102	Not Available
WO006960	M A PENTZ	2/21/1951	98	Not Available	Not Available	Not Available	30	7	19	Not Available
WO007278	PAUL E WHITE	2/24/1951	105	Not Available	4	93	85	12	27	Not Available
WO007881	SHANNAHN ART WELL	7/6/1951	210	Not Available	6	208	75	21	30	Not Available
WO008212	M A PENTZ	9/28/1951	104	Not Available	Not Available	Not Available	30	7	20	Not Available
WO008229	PAUL E WHITE	8/11/1951	81	Not Available	Not Available	Not Available	75	4	29	34
WO008340	PAUL E WHITE	8/3/1951	62	Not Available	Not Available	Not Available	20	1	28	32
WO008512	PAUL E WHITE	9/20/1951	76	Not Available	Not Available	Not Available	105	5	20	34
WO008858	PAUL E WHITE	3/14/1952	83	Not Available	Not Available	Not Available	20	2	24	30
WO009073	PAUL E WHITE	3/21/1952	80	Not Available	Not Available	Not Available	40	3	24	30
WO009756	PAUL E WHITE	4/15/1952	88	Not Available	Not Available	Not Available	40	7	25	30
WO010606	R C SCOTT	7/30/1952	126	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO011037	DELAWARE GEOLOGICAL	8/25/1952	79	Not Available	3	Not Available	Not Available	Not Available	Not Available	Not Available
WO011038	DE GEOLOGICAL SURV	8/26/1952	98	Not Available	3	Not Available	Not Available	Not Available	Not Available	Not Available
WO011039	DE GEOLOGICAL SURV	8/27/1952	89	Not Available	3	Not Available	Not Available	Not Available	Not Available	Not Available
WO011040	DE GEOLOGICAL SURVEY	8/28/1952	104	Not Available	3	Not Available	Not Available	Not Available	Not Available	Not Available
WO011337	ROBERT MAGEE	1/31/1953	117	Not Available	6	100	140	18	45	Not Available
WO011422	ROY C SCOTT	2/11/1953	117	Not Available	2	109	18	3	8	Not Available
WO011743	"SCOTT, ROY C"	5/29/1953	117	Not Available	3	63	15	12	18	Not Available
WO011880	M A PENTZ	3/31/1953	102	Not Available	Not Available	Not Available	60	4	14	50
WO011943	R C SCOTT	4/24/1953	151	Not Available	3	53	30	3	8	Not Available
WO012189	"SCOTT, ROY C"	5/12/1953	150	Not Available	3	55	25	3	8	Not Available
WO012212	ROY C SCOTT	5/5/1953	176	Not Available	3	76	20	3	8	Not Available
WO012236	SHANNAHAN WELL CO	6/10/1953	318	Not Available	4	154	30	10	16	Not Available
WO012329	R C SCOTT	6/12/1953	228	Not Available	3	113	12	12	20	Not Available
WO012361	M A PENTZ	6/11/1953	94	Not Available	Not Available	Not Available	50	7	22	Not Available
WO012397	ROY C SCOTT	9/1/1953	122	Not Available	2	116	8	5	Not Available	Not Available
WO012483	ROGER B WHITE	7/30/1953	102	Not Available	Not Available	Not Available	Not Available	3	Not Available	Not Available
WO012514	ROGER B WHITE	6/30/1953	128	Not Available	Not Available	Not Available	Not Available	3	Not Available	Not Available
WO012602	ROGER B WHITE	8/30/1953	191	Not Available	Not Available	Not Available	6	5	Not Available	Not Available
WO012603	ROGER B WHITE	7/30/1953	180	Not Available	Not Available	Not Available	Not Available	4	Not Available	Not Available
WO012615	ROGER WHITE	11/30/1953	182	Not Available	Not Available	Not Available	13	7	Not Available	Not Available
WO012647	ROGER B WHITE	8/1/1953	63	Not Available	2	54	8	10	Not Available	Not Available
WO012662	WILLIAM J PORTER	9/15/1953	162	Not Available	3	63	15	17	Not Available	Not Available
WO012728	R C SCOTT	7/21/1953	119	Not Available	3	74	12	24	33	Not Available
WO012729	R C SCOTT	6/24/1953	169	Not Available	3	93	20	9	23	Not Available
WO012910	M A PENTZ	8/14/1953	150	Not Available	4	142	35	12	40	Not Available
WO013441	ROGER B WHITE	11/1/1953	130	Not Available	2	120	8	18	Not Available	Not Available
WO013902	EDGAR A MARSHALL	11/3/1953	132	Not Available	3	48	800	10	12	Not Available
WO014018	M A PENTZ	12/18/1953	106	Not Available	6	94	100	16	24	Not Available
WO014025	R C SCOTT	1/7/1954	92	Not Available	6	Not Available	15	6	14	Not Available
WO014292	WILLIAM J PORTER	2/21/1954	52	Not Available	2	Not Available	20	12	12	Not Available
WO014555	"MARSHALL, EDGAR A"	3/20/1954	145	Not Available	3	51	800	2	12	Not Available
WO014739	R C SCOTT	4/13/1954	60	Not Available	2	52	12	6	15	Not Available
WO014788	R C SCOTT	8/1/1954	68	Not Available	3	40	23	4	14	Not Available
WO014815	ROGER B WHITE	7/19/1954	182	Not Available	Not Available	Not Available	12	5	Not Available	Not Available
WO014875	ROGER B WHITE	6/30/1954	192	Not Available	Not Available	Not Available	12	8	Not Available	Not Available
WO014876	ROGER B WHITE	7/3/1954	182	Not Available	Not Available	Not Available	10	3	Not Available	Not Available
WO014942	M A PENTZ	5/5/1954	95	Not Available	Not Available	Not Available	30	5	20	Not Available
WO014943	M A PENTZ	5/7/1954	97	Not Available	Not Available	Not Available	20	4	Not Available	Not Available
WO014944	M A PENTZ	5/8/1954	97	Not Available	Not Available	Not Available	20	4	20	Not Available
WO014946	M A PENTZ	5/4/1954	97	Not Available	Not Available	Not Available	30	4	20	Not Available
WO015058	ROGER B WHITE	7/30/1954	132	Not Available	Not Available	Not Available	15	4	Not Available	Not Available
WO015171	ROGER B WHITE	6/30/1954	192	Not Available	Not Available	Not Available	12	8	Not Available	Not Available
WO015243	RAY C SCOTT	5/25/1954	164	Not Available	3	96	20	3	8	Not Available
WO015244	ROY C SCOTT	6/10/1954	216	Not Available	3	104	9	2	8	Not Available
WO015263	R C SCOTT	5/26/1954	144	Not Available	3	63	11	4	11	Not Available
WO015331	R C SCOTT	6/3/1954	164	Not Available	3	92	18	3	8	Not Available
WO015412	ROGER B WHITE	6/30/1954	102	Not Available	Not Available	Not Available	10	3	Not Available	Not Available
WO015427	R C SCOTT	6/10/1954	188	Not Available	3	98	12	3	9	Not Available
WO015627	R C SCOTT	7/15/1954	167	Not Available	3	96	Not Available	18	11	Not Available
WO015735	WILLIAM J PORTER	7/10/1954	145	Not Available	3	63	15	10	Not Available	Not Available
WO015828	R C SCOTT	9/20/1954	169	Not Available	3	87	20	18	4	Not Available
WO015829	WILLIAM J PORTER	7/20/1954	128	Not Available	Not Available	Not Available	22	4	Not Available	85
WO015830	WILLIAM J PORTER	7/17/1954	94	Not Available	Not Available	Not Available	20	3	Not Available	60
WO015841	ROGER B WHITE	9/30/1954	192	Not Available	Not Available	Not Available	12	4	Not Available	Not Available
WO015842	ROGER B WHITE	9/30/1954	192	Not Available	Not Available	Not Available	12	4	Not Available	Not Available
WO015843	ROGER B WHITE	10/30/1954	192	Not Available	Not Available	Not Available	10	6	Not Available	Not Available
WO015862	ROY C SCOTT	8/3/1954	232	Not Available	3	97	17	7	12	Not Available
WO015918	ROY ALDON LINTON	7/28/1954	101	Not Available	3	68	Not Available	101	105	Not Available
WO015919	ROY ALDON LINTON	7/24/1954	132	Not Available	3	68	4000	132	135	Not Available
WO015968	ROY ALDON LINTON	8/18/1954	101	Not Available	3	68	3500	90	101	Not Available
WO015978	WILLIAM J PORTER	7/30/1954	127	Not Available	Not Available	Not Available	30	4	Not Available	70
WO016092	WILLIAM J PORTER	8/10/1954	128	Not Available	Not Available	Not Available	25	5	Not Available	84
WO016093	WILLIAM J PORTER	8/15/1954	133	Not Available	Not Available	Not Available	35	4	Not Available	50
WO016123	ROY C SCOTT	8/19/1954	174	Not Available	3	97	20	0	5	Not Available
WO016146	WILLIAM J PORTER	9/8/1954	133	Not Available	Not Available	Not Available	40	10	8	Not Available
WO016229	R C SCOTT	11/11/1954	209	Not Available	3	97	18	24	6	Not Available
WO016238	R C SCOTT	8/26/1954	159	Not Available	3	96	14	2	9	Not Available
WO016279	WILLIAM J PORTER	8/28/1954	125	Not Available	Not Available	Not Available	35	12	10	Not Available
WO016298	R C SCOTT	8/24/1954	195	Not Available	3	97	14	3	12	Not Available
WO016435	RAY A LINTON	9/20/1954	118	Not Available	3	54	80	115	118	Not Available
WO016817	R C SCOTT	10/13/1954	168	Not Available	3	97	12	3	12	Not Available
WO017237	WILLIAM J PORTER	12/12/1954	126	Not Available	3	112	60	8	Not Available	Not Available
WO017398	M A PENTZ	1/13/1955	107	Not Available	6	94	60	14	19	Not Available
WO017891	WILLIAM J PORTER	2/15/1955	92	Not Available	3	Not Available	30	24	Not Available	Not Available
WO017892	WILLIAM J PORTER	2/18/1955	97	Not Available	3	63	20	14	Not Available	10
WO017983	"SHANNAHAN, SAMUEL T"	6/17/1955	129	Not Available	Not Available	Not Available	150	18	58	80
WO017997	WILLIAM J PORTER	Not Available	123	Not Available	3	115	75	8	8	12
WO018066	M A PENTZ	3/17/1955	110	Not Available	Not Available	Not Available	70	4	15	Not Available
WO018329	R C SCOTT	4/14/1955	167	Not Available	3	86	250	18	8	Not Available
WO018330	R C SCOTT	4/8/1955	171	Not Available	3	93	25	2	7	Not Available
WO018528	SYDNOR PUMP & WELL	5/10/1955	300	Not Available	Not Available	250	663	0	40	80
WO018529	SYDNOR PUMP & WELL	5/21/1955	260	Not Available	Not Available	Not Available	663	0	48	80
WO018748	WILLIAM J PORTER	4/22/1955	92	Not Available	Not Available	Not Available	30	1	Not Available	50
WO018859	WILLIAM J PORTER	4/28/1955	94	Not Available	Not Available	Not Available	20	4	Not Available	25
WO018860	WILLIAM J PORTER	4/26/1955	92	Not Available	Not Available	Not Available	24	2	Not Available	Not Available
WO018973	M A PENTZ	5/11/1955	103	Not Available	Not Available	Not Available	60	3	17	Not Available
WO018974	M A PENTZ	5/12/1955	103	Not Available	Not Available	Not Available	50	4	18	Not Available
WO018993	WILLIAM J PORTER	5/10/1955	133	Not Available	Not Available	Not Available	25	11	8	35
WO019203	WILLIAM J PORTER	5/22/1955	133	Not Available	Not Available	Not Available	25	10	8	25
WO019204	WILLIAM J PORTER	5/25/1955	185	Not Available	Not Available	Not Available	20	11	8	20
WO019257	ROY ALDON LINTON	6/4/1955	146	Not Available	3	54	4500	146	Not Available	Not Available
WO019513	WILLIAM J PORTER	6/13/1955	185	Not Available	3	63	30	7	5	Not Available
WO019610	WILLIAM J PORTER	6/19/1955	94	Not Available	Not Available	Not Available	25	6	4	Not Available
WO019665	WILLIAM J PORTER	6/23/1955	92	Not Available	3	63	20	6	4	Not Available
WO019666	WILLIAM J PORTER	6/30/1955	185	Not Available	Not Available	Not Available	30	1	Not Available	Not Available
WO019740	SAMUEL V SHANNAHAN	7/28/1955	156	Not Available	Not Available	Not Available	50	4	28	Not Available
WO019886	WILLIAM J PORTER	9/20/1955	185	Not Available	Not Available	Not Available	30	2	Not Available	Not Available
WO019887	WILLIAM J PORTER	9/24/1955	185	Not Available	Not Available	Not Available	35	Not Available	Not Available	Not Available
WO020855	PAUL E WHITE	10/1/1955	122	Not Available	3	112	35	21	3	35
WO020866	R C SCOTT	10/14/1955	118	Not Available	3	90	12	18	23	Not Available
WO021067	R C SCOTT	9/22/1955	86	Not Available	2	86	20	12	18	Not Available
WO021068	R C SCOTT	9/29/1955	84	Not Available	2	Not Available	20	8	17	Not Available
WO021108	M A PENTZ	10/29/1955	66	Not Available	6	55	70	11	20	Not Available
WO021109	PAUL E WHITE	10/10/1955	83	Not Available	Not Available	Not Available	15	9	30	33
WO021172	SHANNAHAN ART WELL	10/28/1955	143	Not Available	10	114	315	24	34	Not Available
WO021208	PAUL E WHITE	10/19/1955	80	Not Available	Not Available	Not Available	100	3	20	Not Available
WO021321	M A PENTZ	11/2/1955	108	Not Available	6	96	60	18	24	Not Available
WO021656	M A PENTZ	1/6/1956	73	Not Available	4	68	60	21	40	Not Available
WO021778	R C SCOTT	4/13/1956	196	Not Available	3	98	18	3	9	Not Available
WO021897	EDGAR C CUSICK	1/10/1956	127	Not Available	2	110	25	2	4	Not Available
WO021966	EDGAR C CUSICK	1/25/1956	140	Not Available	2	125	25	21	22	Not Available
WO021990	PAUL E WHITE	2/20/1956	90	Not Available	Not Available	Not Available	50	4	28	Not Available
WO022056	WILLIAM J PORTER	2/9/1956	115	Not Available	Not Available	Not Available	40	2	2	Not Available
WO022057	WILLIAM J PORTER	2/6/1956	186	Not Available	Not Available	Not Available	30	6	4	Not Available
WO022254	WILLIAM J PORTER	2/23/1956	185	Not Available	Not Available	Not Available	30	5	4	Not Available
WO022255	WILLIAM J PORTER	2/27/1956	92	Not Available	Not Available	Not Available	50	3	1	Not Available
WO022256	WILLIAM J PORTER	3/3/1956	148	Not Available	Not Available	Not Available	30	7	6	Not Available
WO022257	WILLIAM J PORTER	3/8/1956	185	Not Available	Not Available	Not Available	40	4	3	Not Available
WO022258	WILLIAM J PORTER	5/14/1956	145	Not Available	3	63	30	8	7	Not Available
WO022304	R C SCOTT	5/9/1956	194	Not Available	3	96	18	3	9	Not Available
WO022305	R C SCOTT	4/26/1956	183	Not Available	3	107	18	3	9	Not Available
WO022606	WILLIAM J PORTER	4/18/1956	186	Not Available	Not Available	Not Available	35	5	4	Not Available
WO022607	WILLIAM J PORTER	4/14/1956	185	Not Available	Not Available	Not Available	40	4	4	Not Available
WO022778	WILLIAM J PORTER	5/8/1956	145	Not Available	3	63	20	12	10	Not Available
WO022834	M A PENTZ	3/12/1957	104	Not Available	6	93	40	12	25	Not Available
WO023292	WILLIAM J PORTER	5/28/1956	185	Not Available	Not Available	Not Available	30	8	6	Not Available
WO023293	WILLIAM J PORTER	6/5/1956	186	Not Available	Not Available	Not Available	30	4	Not Available	Not Available
WO023363	R C SCOTT	5/28/1956	135	Not Available	3	63	12	7	13	Not Available
WO023428	LEWIS BROTHERS	6/28/1956	148	Not Available	2	Not Available	12	6	Not Available	Not Available
WO023999	PAUL E WHITE	8/3/1956	86	Not Available	Not Available	Not Available	60	4	26	Not Available
WO024013	M A PENTZ	7/20/1956	106	Not Available	Not Available	Not Available	90	4	16	Not Available
WO024058	M A PENTZ	7/27/1956	108	Not Available	8	96	100	11	21	Not Available
WO024158	R C SCOTT	8/7/1956	156	Not Available	3	84	15	6	9	Not Available
